"UserName","Name","DNSHostName","Enabled","IPv4Address","Operating System","Logon Age (days)","Password Age (days)","Dormant (> 90 days)","Password Age (> 30 days)","Delegation Type","Delegation Protocol","Delegation Services","Primary Group ID","SID","SIDHistory","Description","ms-ds-CreatorSid","Last Logon Date","Password LastSet","UserAccountControl","whenCreated","whenChanged","Distinguished Name"
"OGCWWKS1000001$","OGCWWKS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4214","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:48 PM","4096","8/27/2020 7:32:48 PM","8/27/2020 7:32:48 PM","CN=OGCWWKS1000001,OU=T0-Devices,OU=Tier 0,OU=Admin,DC=LAB,DC=local"
"TSTWWKS1000000$","TSTWWKS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4136","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:27 PM","4096","8/27/2020 7:31:27 PM","8/27/2020 7:31:27 PM","CN=TSTWWKS1000000,OU=ServiceAccounts,OU=AWS,OU=Stage,DC=LAB,DC=local"
"ITSWWKS1000000$","ITSWWKS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4174","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:05 PM","4096","8/27/2020 7:32:05 PM","8/27/2020 7:32:05 PM","CN=ITSWWKS1000000,OU=ServiceAccounts,OU=AWS,OU=Stage,DC=LAB,DC=local"
"FSRWCTRX1000000$","FSRWCTRX1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4200","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:31 PM","4096","8/27/2020 7:32:31 PM","8/27/2020 7:32:31 PM","CN=FSRWCTRX1000000,OU=AWS,OU=Tier 2,DC=LAB,DC=local"
"SECWWEBS1000000$","SECWWEBS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4149","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:40 PM","4096","8/27/2020 7:31:40 PM","8/27/2020 7:31:40 PM","CN=SECWWEBS1000000,OU=Admin,DC=LAB,DC=local"
"GOOWCTRX1000002$","GOOWCTRX1000002",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4228","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:03 PM","4096","8/27/2020 7:33:03 PM","8/27/2020 7:33:03 PM","CN=GOOWCTRX1000002,OU=OGC,OU=Tier 1,DC=LAB,DC=local"
"AWSWSECS1000001$","AWSWSECS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4215","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:50 PM","4096","8/27/2020 7:32:49 PM","8/27/2020 7:32:50 PM","CN=AWSWSECS1000001,OU=Groups,OU=BDE,OU=Tier 2,DC=LAB,DC=local"
"AZRWVIR1000000$","AZRWVIR1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4137","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:28 PM","4096","8/27/2020 7:31:28 PM","8/27/2020 7:31:28 PM","CN=AZRWVIR1000000,OU=Devices,OU=TST,OU=Tier 2,DC=LAB,DC=local"
"GOOWAPPS1000000$","GOOWAPPS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4175","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:06 PM","4096","8/27/2020 7:32:06 PM","8/27/2020 7:32:06 PM","CN=GOOWAPPS1000000,OU=FIN,OU=Tier 2,DC=LAB,DC=local"
"HREWLPT1000001$","HREWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4242","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:18 PM","4096","8/27/2020 7:33:18 PM","8/27/2020 7:33:18 PM","CN=HREWLPT1000001,OU=Devices,OU=FSR,OU=Tier 1,DC=LAB,DC=local"
"TSTWVIR1000001$","TSTWVIR1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4229","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:04 PM","4096","8/27/2020 7:33:04 PM","8/27/2020 7:33:04 PM","CN=TSTWVIR1000001,OU=Test,OU=HRE,OU=Tier 2,DC=LAB,DC=local"
"SECWWEBS1000001$","SECWWEBS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4216","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:50 PM","4096","8/27/2020 7:32:50 PM","8/27/2020 7:32:50 PM","CN=SECWWEBS1000001,OU=Unassociated,OU=People,DC=LAB,DC=local"
"HREWAPPS1000001$","HREWAPPS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4138","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:29 PM","4096","8/27/2020 7:31:29 PM","8/27/2020 7:31:29 PM","CN=HREWAPPS1000001,OU=T0-Servers,OU=Tier 0,OU=Admin,DC=LAB,DC=local"
"ITSWVIR1000003$","ITSWVIR1000003",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4201","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:33 PM","4096","8/27/2020 7:32:33 PM","8/27/2020 7:32:33 PM","CN=ITSWVIR1000003,OU=Test,OU=AZR,OU=Tier 1,DC=LAB,DC=local"
"TSTWLPT1000001$","TSTWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4176","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:07 PM","4096","8/27/2020 7:32:07 PM","8/27/2020 7:32:07 PM","CN=TSTWLPT1000001,OU=SEC,OU=Tier 2,DC=LAB,DC=local"
"AZRWSECS1000000$","AZRWSECS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4243","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:19 PM","4096","8/27/2020 7:33:19 PM","8/27/2020 7:33:19 PM","CN=AZRWSECS1000000,OU=Test,OU=FIN,OU=Tier 1,DC=LAB,DC=local"
"BDEWLPT1000001$","BDEWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4217","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:52 PM","4096","8/27/2020 7:32:52 PM","8/27/2020 7:32:52 PM","CN=BDEWLPT1000001,OU=Test,OU=FSR,OU=Tier 2,DC=LAB,DC=local"
"AZRWDBAS1000000$","AZRWDBAS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4230","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:05 PM","4096","8/27/2020 7:33:05 PM","8/27/2020 7:33:05 PM","CN=AZRWDBAS1000000,OU=Devices,OU=ESM,OU=Tier 2,DC=LAB,DC=local"
"FINWDBAS1000000$","FINWDBAS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4159","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:49 PM","4096","8/27/2020 7:31:49 PM","8/27/2020 7:31:49 PM","CN=FINWDBAS1000000,OU=ESM,OU=People,DC=LAB,DC=local"
"FSRWLPT1000003$","FSRWLPT1000003",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4177","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:08 PM","4096","8/27/2020 7:32:08 PM","8/27/2020 7:32:08 PM","CN=FSRWLPT1000003,OU=ServiceAccounts,OU=SEC,OU=Tier 2,DC=LAB,DC=local"
"AZRWAPPS1000001$","AZRWAPPS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4244","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:21 PM","4096","8/27/2020 7:33:21 PM","8/27/2020 7:33:21 PM","CN=AZRWAPPS1000001,OU=Groups,OU=ESM,OU=Tier 2,DC=LAB,DC=local"
"TSTWWEBS1000000$","TSTWWEBS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4160","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:50 PM","4096","8/27/2020 7:31:50 PM","8/27/2020 7:31:50 PM","CN=TSTWWEBS1000000,OU=OGC,OU=Tier 2,DC=LAB,DC=local"
"HREWAPPS1000002$","HREWAPPS1000002",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4231","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:06 PM","4096","8/27/2020 7:33:06 PM","8/27/2020 7:33:06 PM","CN=HREWAPPS1000002,OU=FIN,OU=Tier 2,DC=LAB,DC=local"
"AZRWLPT1000000$","AZRWLPT1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4178","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:09 PM","4096","8/27/2020 7:32:08 PM","8/27/2020 7:32:09 PM","CN=AZRWLPT1000000,OU=Test,OU=AZR,OU=Tier 1,DC=LAB,DC=local"
"GOOWCTRX1000001$","GOOWCTRX1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4202","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:34 PM","4096","8/27/2020 7:32:34 PM","8/27/2020 7:32:34 PM","CN=GOOWCTRX1000001,OU=Devices,OU=ITS,OU=Stage,DC=LAB,DC=local"
"AWSWCTRX1000000$","AWSWCTRX1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4139","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:29 PM","4096","8/27/2020 7:31:29 PM","8/27/2020 7:31:30 PM","CN=AWSWCTRX1000000,OU=.SecFrame.com,DC=LAB,DC=local"
"FSRWWEBS1000000$","FSRWWEBS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4245","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:22 PM","4096","8/27/2020 7:33:22 PM","8/27/2020 7:33:22 PM","CN=FSRWWEBS1000000,OU=T0-Accounts,OU=Tier 0,OU=Admin,DC=LAB,DC=local"
"HREWSECS1000000$","HREWSECS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4161","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:51 PM","4096","8/27/2020 7:31:51 PM","8/27/2020 7:31:51 PM","CN=HREWSECS1000000,OU=Devices,OU=SEC,OU=Stage,DC=LAB,DC=local"
"BDEWLPT1000000$","BDEWLPT1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4179","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:10 PM","4096","8/27/2020 7:32:10 PM","8/27/2020 7:32:10 PM","CN=BDEWLPT1000000,OU=T0-Accounts,OU=Tier 0,OU=Admin,DC=LAB,DC=local"
"AZRWWKS1000000$","AZRWWKS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4232","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:07 PM","4096","8/27/2020 7:33:07 PM","8/27/2020 7:33:07 PM","CN=AZRWWKS1000000,OU=ServiceAccounts,OU=BDE,OU=Tier 1,DC=LAB,DC=local"
"OGCWWKS1000002$","OGCWWKS1000002",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4218","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:53 PM","4096","8/27/2020 7:32:53 PM","8/27/2020 7:32:53 PM","CN=OGCWWKS1000002,OU=Test,OU=SEC,OU=Tier 2,DC=LAB,DC=local"
"TSTWLPT1000000$","TSTWLPT1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4140","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:30 PM","4096","8/27/2020 7:31:30 PM","8/27/2020 7:31:30 PM","CN=TSTWLPT1000000,OU=Groups,OU=BDE,OU=Stage,DC=LAB,DC=local"
"GOOWWEBS1000000$","GOOWWEBS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4188","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:20 PM","4096","8/27/2020 7:32:20 PM","8/27/2020 7:32:20 PM","CN=GOOWWEBS1000000,OU=Groups,OU=OGC,OU=Tier 2,DC=LAB,DC=local"
"FINWDBAS1000002$","FINWDBAS1000002",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4246","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:23 PM","4096","8/27/2020 7:33:23 PM","8/27/2020 7:33:23 PM","CN=FINWDBAS1000002,OU=Devices,OU=FSR,OU=Tier 1,DC=LAB,DC=local"
"TSTWVIR1000000$","TSTWVIR1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4162","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:52 PM","4096","8/27/2020 7:31:52 PM","8/27/2020 7:31:52 PM","CN=TSTWVIR1000000,OU=Test,OU=OGC,OU=Tier 2,DC=LAB,DC=local"
"SECWLPT1000000$","SECWLPT1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4180","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:11 PM","4096","8/27/2020 7:32:11 PM","8/27/2020 7:32:11 PM","CN=SECWLPT1000000,OU=Devices,OU=ESM,OU=Tier 1,DC=LAB,DC=local"
"BDEWVIR1000002$","BDEWVIR1000002",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4219","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:54 PM","4096","8/27/2020 7:32:54 PM","8/27/2020 7:32:54 PM","CN=BDEWVIR1000002,OU=ServiceAccounts,OU=BDE,OU=Stage,DC=LAB,DC=local"
"ITSWDBAS1000000$","ITSWDBAS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4141","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:32 PM","4096","8/27/2020 7:31:32 PM","8/27/2020 7:31:32 PM","CN=ITSWDBAS1000000,OU=ServiceAccounts,OU=OGC,OU=Stage,DC=LAB,DC=local"
"FINWCTRX1000000$","FINWCTRX1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4189","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:21 PM","4096","8/27/2020 7:32:21 PM","8/27/2020 7:32:21 PM","CN=FINWCTRX1000000,OU=Test,OU=FIN,OU=Tier 2,DC=LAB,DC=local"
"BDEWVIR1000003$","BDEWVIR1000003",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4233","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:08 PM","4096","8/27/2020 7:33:08 PM","8/27/2020 7:33:08 PM","CN=BDEWVIR1000003,OU=ServiceAccounts,OU=SEC,OU=Tier 1,DC=LAB,DC=local"
"FINWLPT1000001$","FINWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4247","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:24 PM","4096","8/27/2020 7:33:24 PM","8/27/2020 7:33:24 PM","CN=FINWLPT1000001,OU=FIN,OU=Tier 2,DC=LAB,DC=local"
"AWSWLPT1000001$","AWSWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4181","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:12 PM","4096","8/27/2020 7:32:12 PM","8/27/2020 7:32:12 PM","CN=AWSWLPT1000001,OU=T1-Devices,OU=Tier 1,OU=Admin,DC=LAB,DC=local"
"ESMWCTRX1000001$","ESMWCTRX1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4163","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:52 PM","4096","8/27/2020 7:31:52 PM","8/27/2020 7:31:53 PM","CN=ESMWCTRX1000001,OU=ServiceAccounts,OU=TST,OU=Tier 1,DC=LAB,DC=local"
"ESMWLPT1000001$","ESMWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4142","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:33 PM","4096","8/27/2020 7:31:33 PM","8/27/2020 7:31:33 PM","CN=ESMWLPT1000001,OU=Test,OU=HRE,OU=Stage,DC=LAB,DC=local"
"FSRWLPT1000004$","FSRWLPT1000004",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4190","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:22 PM","4096","8/27/2020 7:32:22 PM","8/27/2020 7:32:22 PM","CN=FSRWLPT1000004,OU=Test,OU=TST,OU=Stage,DC=LAB,DC=local"
"TSTWWKS1000001$","TSTWWKS1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4150","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:41 PM","4096","8/27/2020 7:31:41 PM","8/27/2020 7:31:41 PM","CN=TSTWWKS1000001,OU=T0-Roles,OU=Tier 0,OU=Admin,DC=LAB,DC=local"
"AWSWWKS1000003$","AWSWWKS1000003",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4248","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:25 PM","4096","8/27/2020 7:33:25 PM","8/27/2020 7:33:25 PM","CN=AWSWWKS1000003,OU=Test,OU=ESM,OU=Stage,DC=LAB,DC=local"
"ITSWWEBS1000000$","ITSWWEBS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4182","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:14 PM","4096","8/27/2020 7:32:14 PM","8/27/2020 7:32:14 PM","CN=ITSWWEBS1000000,OU=Test,OU=OGC,OU=Stage,DC=LAB,DC=local"
"FINWCTRX1000001$","FINWCTRX1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4203","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:35 PM","4096","8/27/2020 7:32:35 PM","8/27/2020 7:32:35 PM","CN=FINWCTRX1000001,OU=Test,OU=TST,OU=Tier 2,DC=LAB,DC=local"
"OGCWWKS1000003$","OGCWWKS1000003",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4234","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:09 PM","4096","8/27/2020 7:33:09 PM","8/27/2020 7:33:09 PM","CN=OGCWWKS1000003,OU=Devices,OU=BDE,OU=Tier 1,DC=LAB,DC=local"
"HREWVIR1000000$","HREWVIR1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4164","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:54 PM","4096","8/27/2020 7:31:54 PM","8/27/2020 7:31:54 PM","CN=HREWVIR1000000,OU=ServiceAccounts,OU=AZR,OU=Stage,DC=LAB,DC=local"
"AWSWSECS1000000$","AWSWSECS1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4191","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:23 PM","4096","8/27/2020 7:32:23 PM","8/27/2020 7:32:23 PM","CN=AWSWSECS1000000,OU=ServiceAccounts,OU=HRE,OU=Tier 2,DC=LAB,DC=local"
"GOOWVIR1000000$","GOOWVIR1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4151","","Created with secframe.com/badblood.",,,"8/27/2020 7:31:42 PM","4096","8/27/2020 7:31:42 PM","8/27/2020 7:31:42 PM","CN=GOOWVIR1000000,OU=Unassociated,OU=People,DC=LAB,DC=local"
"SECWLPT1000001$","SECWLPT1000001",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4183","","Created with secframe.com/badblood.",,,"8/27/2020 7:32:15 PM","4096","8/27/2020 7:32:15 PM","8/27/2020 7:32:15 PM","CN=SECWLPT1000001,OU=Devices,OU=ESM,OU=Tier 2,DC=LAB,DC=local"
"BDEWCTRX1000000$","BDEWCTRX1000000",,"True",,"-",,"5","False","False",,,,"515","S-1-5-21-3291825774-2351178969-2332353497-4249","","Created with secframe.com/badblood.",,,"8/27/2020 7:33:26 PM","4096","8/27/2020 7:33:26 PM","8/27/2020 7:33:26 PM","CN=BDEWCTRX1000000,OU=ServiceAccounts,OU=BDE,OU=Tier 2,DC=LAB,DC=local"
